Parameter,Value
Station,naruko
A_lat,-9.329372584621101
B_lat,-0.006379755538921267
C_exp_lat,4.150343886667787
C_log_lat,-17.737462733784145
A_lon,20.70439769818059
B_lon,0.01050322521892068
C_exp_lon,-8.340274872757904
C_log_lon,65.93509050394493
A_hei,-4.639544694706107
B_hei,4.603735169084468e-05
C_exp_hei,2.6967402601737587
C_log_hei,5.41315242756917
tau_exp,99.55351985318785
tau_log,100.56504206011938

