Parameter,Value
Station,naruko
A_lat,-7.2484650435595475
B_lat,-0.005990158767149157
C_lat,-19.826317381889165
A_lon,15.736714825118106
B_lon,0.009577016678079616
C_lon,70.70769925279905
A_hei,-3.72652795838138
B_hei,0.00021924965614893022
C_hei,4.376715774212598
tau,97.42604959818638

