Parameter,Value
Station,naruko
A_lat,-26.20370553906899
B_lat,-0.009291898334536768
C_lat,21.026913194936984
A_lon,82.94508439821638
B_lon,0.021463747702209525
C_lon,-72.9695174075233
A_hei,0.2555449872816615
B_hei,0.0010055777764682802
C_hei,-3.601471299595096
tau,266.5267435184126

